"name","address","latitude","longitude"
"Southeastern University","1000 Longfellow Blvd, Lakeland, FL 33801-6034",28.03048365,-81.9180090568773
"Southern Connecticut State University","501 Crescent Street, New Haven, CT 06515",41.3339685,-72.9447930847035
"Southern Methodist University","6425 Boaz St, Dallas, TX 75275-0221",32.8444471240327,-96.785803870016
"Springfield College","263 Alden St, Springfield, MA 01109-3797",42.1054034,-72.5511764
"St. Bonaventure University","Route 417, St. Bonaventure, NY 14778",NA,NA
"St. Lawrence University","23 Romoda Drive, Canton, NY 13617",44.5931412,-75.1626242
"Stonehill College","320 Washington Street, Easton, MA 02357-6110",42.05931925,-71.0792207017646
"Suffolk University","73 Tremont Street, Boston, MA 02108",42.35784935,-71.0610400581036
"SUNY Potsdam","44 Pierrepont Ave, Potsdam, NY 13676-2294",44.662401,-74.977479
"SUNY Stony Brook","100 Nicolls Road, Stony Brook, NY 11794-1401",40.9121524,-73.1300402
"Susquehanna University","514 University Ave, Selinsgrove, PA 17870-1025",40.79688725,-76.8750374280338
"Syracuse University","Crouse Hinds Hall, Suite 600, Syracuse, NY 13244-2130",NA,NA
"Temple University","1801 North Broad Street, Philadelphia, PA 19122-6096",39.9814833,-75.1558156
"Towson University","8000 York Rd, Towson, MD 21252-0001",39.3840077,-76.6069939
"Tufts University","Ballou Hall, 2nd Floor, Medford, MA 02155",NA,NA
"Tulane University","6823 Saint Charles Avenue, New Orleans, LA 70118-5698",29.93540275,-90.1227530731879
"Union College","310 College St, Barbourville, KY 40906-1499",36.8690834016373,-83.8879357096748
"Union College","3800 S 48th, Lincoln, NE 68506",40.7796541,-96.6551483
"Union College","807 Union Street, Schenectady, NY 12308-3107",42.8148056,-73.9316225
"University of Bridgeport","126 Park Avenue, Bridgeport, CT 06604-5620",41.1728458,-73.1969559
"University of Cincinnati","P.O. Box 210063, Cincinnati, OH 45221-0063",NA,NA
"University of Colorado at Boulder","17 UCB, Boulder, CO 80309-0017",NA,NA
"University of Connecticut","352 Mansfield Rd. Unit 2048, Storrs, CT 06269-2048",NA,NA
"University of Delaware","104 Hullihen Hall, Newark, DE 19716",NA,NA
